Location,Result,Date,Number,Lat,Lon,Color
site1,2,2018-01,0,10,24,#7ca6d6
site1,2,2018-02,2,10,24,#7ca6d6
site1,3,2018-03,4,10,24,#7ca6d6
site1,3,2018-04,6,10,24,#7ca6d6
site1,4,2018-05,8,10,24,#7ca6d6
site1,5,2018-06,10,10,24,#7ca6d6
site2,7,2018-01,0,10,30,#3c3482
site2,7,2018-02,2,10,30,#3c3482
site2,8,2018-03,4,10,30,#3c3482
site2,8,2018-04,6,10,30,#3c3482
site2,9,2018-05,8,10,30,#3c3482
site2,9,2018-06,10,10,30,#3c3482
off site,1,2018-01,0,50,20,white
off site,1,2018-02,2,50,20,white
off site,3,2018-03,4,50,20,white
off site,4,2018-04,6,50,20,white
off site,5,2018-05,8,50,20,white
off site,6,2018-06,10,50,20,white
off site,5,2018-01,0,50,30,white
off site,5,2018-02,2,50,30,white
off site,3,2018-03,4,50,30,white
off site,3,2018-04,6,50,30,white
off site,1,2018-05,8,50,30,white
off site,1,2018-06,10,50,30,white
site3,2,2018-01,0,40,25,#c74d3a
site3,2,2018-02,2,40,25,#c74d3a
site3,1,2018-03,4,40,25,#c74d3a
site3,3,2018-04,6,40,25,#c74d3a
site3,4,2018-05,8,40,25,#c74d3a
site3,5,2018-06,10,40,25,#c74d3a
site4,3,2018-01,0,40,32.5,#3c8538
site4,3,2018-02,2,40,32.5,#3c8538
site4,4,2018-03,4,40,32.5,#3c8538
site4,4,2018-04,6,40,32.5,#3c8538
site4,2,2018-05,8,40,32.5,#3c8538
site4,2,2018-06,10,40,32.5,#3c8538
off site,1,2018-01,0,2,20,white
off site,1,2018-02,2,2,20,white
off site,3,2018-03,4,2,20,white
off site,4,2018-04,6,2,20,white
off site,5,2018-05,8,2,20,white
off site,6,2018-06,10,2,20,white
off site,5,2018-01,0,2,35,white
off site,5,2018-02,2,2,35,white
off site,3,2018-03,4,2,35,white
off site,3,2018-04,6,2,35,white
off site,1,2018-05,8,2,35,white
off site,1,2018-06,10,2,35,white
